,Longitude(x),Latitude(y),Wind power density_100m(W/m2 ),Windspeed_50 (m/s),Windspeed_100 (m/s),Windspeed_200 (m/s),Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Country
0,120.71692390999999,18.529410186499998,872.7699984999999,8.221716500000001,8.948387,9.659273499999998,43.102964858,37.350361253500004,2.9967228369999996,2.9575536534,16.798079883000003,5.5884008134,1.1046244082640002,1.9034217673600005,30.653551778999997,Philippines
1,4.201312661785714,48.48420164428571,299.45818357142855,5.333576428571429,6.548454999999998,7.5599035714285705,317.38446634285714,21.83369365357143,5.431565197785714,5.645124962642855,5.123615408357142,7.741224997928572,16.705037519285714,5.225968372,10.626942999857144,France
2,-8.694400120333333,43.09268978952381,726.5346676190477,6.526465714285714,7.5124538095238105,8.393480476190481,235.08033119047616,14.4799113,6.236652709904762,1.0555239661,7.038402277047618,29.91655395857143,15.741601234761905,2.5984048260476187,1.879780145571429,Spain
3,-7.549051788952382,43.42541922142858,843.4141814285713,7.317918571428573,8.201960952380952,9.01059761904762,286.6818448333334,27.098470576666667,9.61904561790476,1.347541680747619,9.232287092476192,33.90461863619048,21.676029943333337,0.843916249009524,0.6392246498238093,Spain
4,-7.664347627166666,43.61468735083333,1018.5718774999999,8.408890000000001,8.778516666666667,9.285760833333333,304.0448164416666,24.571713845833333,7.771940972916667,1.1962115652499998,6.339142883916668,11.048033369166667,9.113318604333331,3.3427430829166664,0.48315476851666667,Spain
5,-7.699510318465515,43.57572092155172,906.8730705172411,7.63870120689655,8.320052931034482,9.105624655172411,299.10532631551723,19.56296489568965,6.756940869224138,1.1456006617051722,10.574031420206891,13.771948528103453,12.038053869655167,1.4094389544879313,0.7983866552293102,Spain
6,-7.80420605545946,43.542731592702694,817.7818548648646,7.254062432432432,8.039836756756756,8.89428162162162,293.4113706594594,11.153913393513513,2.8240814550270277,3.774920565486487,7.154709568621622,17.54634931135135,6.1972042439729735,0.6008657275081081,0.855730305135135,Spain
7,-7.748458316059319,43.493434236440685,939.4681651694914,7.880969491525427,8.544794237288132,9.239963305084743,289.2363242847458,11.397453022271193,6.383423589372883,1.5624579787000847,4.267857968271188,22.468864632542374,4.570080875271187,1.5804100503177976,1.4112870659705938,Spain
8,-1.155277931063492,39.16076806793652,582.4153861904764,6.133455555555557,6.920610634920634,7.610185079365079,137.86728678253968,63.45824964619049,6.272938884158729,2.9409271683857146,7.177639094031743,5.393771168492064,12.739592943031747,4.239609652539682,5.744619798380949,Spain
9,15.300576451111112,41.188728469999994,785.4492599999999,6.603993333333333,6.779107777777778,7.339063703703704,124.08907744444444,16.78978215,3.6529617765555553,7.496965293814814,2.7005954219814816,36.91254689037038,25.911553157407404,1.9658525364814818,0.8472391862740741,Italy
10,15.893524952000002,40.729629818,215.42468399999998,3.733466,4.001972,4.549118,87.61240398200002,11.819172194,7.122921614800001,2.5596292521999997,2.2954716044000003,20.817579932,5.3875289818,1.0202484894000001,2.5713070748,Italy
11,27.326158019999998,37.89779277,539.683096,7.191376,7.90939,8.303958,5.942780804,7.9504238742,3.9114692724,1.7277630784,4.445149676200001,36.46700361,5.0961488574,0.58061130212,11.664052645999998,Turkey
12,-9.051276959340425,42.929721409574476,917.9675308510631,8.483834042553188,8.959365957446808,9.254072553191484,219.525572368085,35.12029368659574,4.158223612510638,0.5064807608406383,4.989751211723403,7.203968297212768,4.146740353170214,0.3860763849014894,0.8041966577468086,Spain
13,13.655743421875002,37.70465358187499,239.83576999999997,4.1575825,4.470391874999999,4.8770493749999995,72.02928716875,30.482189699375,6.162342193750001,8.292022198125,5.032705112312501,18.026493246250002,10.1064225079375,7.3819633661875,3.816723537812499,Italy
14,8.981735012714287,40.91933152857143,270.741676,4.616226571428571,4.970374285714287,5.495939714285716,117.34304482857144,9.85432779182857,5.762731747885714,2.0906233148,6.606097116171428,4.4279586771714285,8.109674878485713,0.8310123065942857,0.5438427363425713,Italy
15,-1.4063582637999998,42.64111562011769,646.1367303529415,6.9253989411764705,7.7781237647058825,8.690847647058828,85.5359854251765,18.530821901411755,2.397406929423529,2.122025167611765,6.926632738035294,4.554658909670587,14.783771469411771,2.1517459461294117,9.431381957141173,Spain
16,27.488934240000003,37.416979143333336,506.34093888888884,7.250523333333335,7.7607244444444445,8.14759777777778,24.11644794111111,16.793429784444445,6.708530512444444,1.5370029936666667,4.387485180555556,10.321307796666668,6.282056543555556,4.464982917,5.638087213555555,Turkey
17,140.07352,39.59747356,515.4283,6.6833,7.27223,7.166119999999999,12.623302375000002,14.941390625,1.2395878059999998,2.7320273805,1.6750723669999998,12.023166795,2.098548621,3.429296416,19.768794045,Japan
18,27.744816055294116,38.917265447647054,309.3249911764706,5.1073347058823515,6.063563529411764,6.947674705882354,11.536642328470592,2.7141749265823534,4.03753085082353,2.479195334823529,1.7373866893764707,8.123517404176468,34.15532530352941,1.5652032825235294,2.8632587657647064,Turkey
19,26.39713816,38.28523430166667,532.4210466666667,7.171353333333333,8.0721525,8.976124166666667,5.299367552083334,6.620164679916666,5.019667131416667,1.373572636075,0.7744323093083333,1.9216476541666667,1.5376405950000003,4.657156390083333,0.6788705220333333,Turkey
