,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Lat,Long,Australia,France,India,Italy,Japan,Philippines,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
11,5.942780804,7.950423874199999,3.9114692724,1.7277630784,4.445149676200002,36.46700361,5.0961488574,0.58061130212,11.664052645999998,37.89779277,27.32615802,0,0,0,0,0,0,0,0,0,0,0,1,7.191375999999999,7.909389999999999,8.303958
12,219.525572368085,35.12029368659574,4.158223612510638,0.5064807608406383,4.989751211723403,7.203968297212768,4.146740353170213,0.3860763849014894,0.8041966577468086,42.929721409574476,-9.051276959340424,0,0,0,0,0,0,0,0,0,1,0,0,8.483834042553188,8.959365957446806,9.254072553191484
14,117.34304482857144,9.85432779182857,5.762731747885714,2.0906233147999997,6.606097116171428,4.4279586771714285,8.109674878485713,0.8310123065942857,0.5438427363425713,40.919331528571426,8.981735012714287,0,0,0,1,0,0,0,0,0,0,0,0,4.616226571428571,4.970374285714287,5.495939714285716
15,85.53598542517649,18.530821901411755,2.3974069294235294,2.122025167611765,6.926632738035294,4.554658909670588,14.783771469411773,2.151745946129412,9.431381957141172,42.64111562011769,-1.4063582637999998,0,0,0,0,0,0,0,0,0,1,0,0,6.925398941176471,7.778123764705882,8.690847647058826
16,24.11644794111111,16.793429784444445,6.708530512444444,1.5370029936666667,4.387485180555556,10.321307796666668,6.282056543555557,4.4649829169999995,5.638087213555554,37.416979143333336,27.488934240000006,0,0,0,0,0,0,0,0,0,0,0,1,7.2505233333333345,7.7607244444444445,8.147597777777781
17,12.623302375000002,14.941390625,1.2395878059999998,2.7320273805,1.6750723669999998,12.023166795,2.098548621,3.429296416,19.768794045,39.59747356,140.07352,0,0,0,0,1,0,0,0,0,0,0,0,6.6833,7.27223,7.1661199999999985
19,5.299367552083334,6.620164679916665,5.019667131416667,1.3735726360749998,0.7744323093083333,1.9216476541666667,1.5376405950000005,4.657156390083333,0.6788705220333333,38.28523430166667,26.39713816,0,0,0,0,0,0,0,0,0,0,0,1,7.171353333333332,8.0721525,8.976124166666667
20,77.25440842148939,16.48388333851064,5.401450581595747,1.669250447506383,4.870604379255321,6.440111330191487,5.182861339553191,4.518804761531916,1.9866286350085105,42.68201601893618,-1.5640653283404258,0,0,0,0,0,0,0,0,0,1,0,0,7.480742340425528,8.423892978723407,9.341554468085107
22,12.894542143529415,240.90617037647056,8.059376898764707,14.587346671176471,6.849644259588237,27.82212828352941,0.7129470232411764,3.980638794235294,10.14570335535294,-35.05522693294117,117.77569453529414,1,0,0,0,0,0,0,0,0,0,0,0,6.558357647058823,7.58391411764706,8.645684705882353
23,143.5526127346154,19.46338310294872,4.444347356820511,7.8227924854615365,2.935236993961538,42.60078750858975,18.05855799782052,2.186339173382051,7.904720795564103,41.47489441769231,15.120945798589739,0,0,0,1,0,0,0,0,0,0,0,0,4.457787435897437,5.007684871794873,5.765042692307691
