,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Lat,Long,Australia,France,India,Italy,Japan,Philippines,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
1093,79.545736985,23.5447799125,3.02523009875,4.0025918985,2.3218551527500004,11.55495611,4.98645206775,1.2795299180500002,2.742620019,48.024794365,-2.0705613027500003,0,1,0,0,0,0,0,0,0,0,0,0,5.50851,6.6927225,7.7351825
738,213.14498700000001,23.382781636,8.508590049599999,8.051761625000001,1.7228274741999998,7.148660529,4.6972993887999985,3.5145043456000002,13.242353086,48.170722882,2.1264697952000002,0,1,0,0,0,0,0,0,0,0,0,0,5.455193999999999,6.770053999999999,7.87627
1313,117.16232918333334,6.294855792416666,3.8013455881666673,1.353093268075,1.2006272867166663,22.11145581333333,4.049365158583334,2.289916140416667,1.0393600164833334,50.06744475166666,1.4877961844166665,0,1,0,0,0,0,0,0,0,0,0,0,6.1938925000000005,7.302313333333334,8.297903333333332
834,69.31016055333333,30.465414428888888,4.2080029861111115,3.676951826555556,1.804732498222222,11.452177626666666,18.565417453333332,4.0612921157777775,2.0693228318888885,48.93927766777777,-0.19935325760000003,0,1,0,0,0,0,0,0,0,0,0,0,5.7492922222222225,6.962364444444443,8.186361111111113
1349,151.32087490555554,16.224639108888887,1.7009688813833332,3.7398636326666663,1.7614274289111114,65.58408918166666,7.988601170888889,5.794116780666668,6.6628295019444455,49.84375856833332,2.7350189261111115,0,1,0,0,0,0,0,0,0,0,0,0,5.58486611111111,6.938845,8.096685
799,82.44457301,14.065819245999998,8.867366909600001,2.2101413138,1.5149206469999998,5.773784022,5.9739228278,2.9368320838,0.359215202486,50.82825739,1.8475805098,0,1,0,0,0,0,0,0,0,0,0,0,6.628596000000001,7.725636,8.506091999999999
104,151.0525204857143,27.93701062857143,1.8863426618857144,1.6986852634285712,1.4137159438,86.0327724657143,18.145477878571427,2.550243076,0.5344082718428572,49.94219983571429,3.66162113,0,1,0,0,0,0,0,0,0,0,0,0,5.464115714285716,6.749637142857144,7.8601414285714295
779,90.3696268275,19.87149684,1.0590844846749998,2.200349796,1.2669269842250002,27.725298252500004,5.678262274500001,2.14569966325,8.48274564525,50.3938532725,3.0110766025,0,1,0,0,0,0,0,0,0,0,0,0,5.371740000000001,6.6389675000000015,7.903645
1147,104.92333262000002,23.523658588000004,2.798556998,8.873601826000002,2.4196802632000005,48.939617918,11.158317376,3.5392577884,9.8069121788,48.845619402,1.070546303,0,1,0,0,0,0,0,0,0,0,0,0,5.662542,6.9914760000000005,8.219403999999999
1018,148.5003905714286,4.874836974214285,3.463974082357143,4.1564696214999985,1.8566008497857145,75.61759790285714,7.100300416571429,4.211319441857143,3.9173190475714286,49.89221505428571,3.2724757330714285,0,1,0,0,0,0,0,0,0,0,0,0,5.568725,6.869556428571428,8.035332857142857
528,151.32087490555554,16.224639108888887,1.7009688813833332,3.7398636326666663,1.7614274289111114,65.58408918166666,7.988601170888889,5.794116780666668,6.6628295019444455,49.84375856833332,2.7350189261111115,0,1,0,0,0,0,0,0,0,0,0,0,5.58486611111111,6.938845,8.096685
1141,331.26421125,29.8101441575,3.0146501317500003,0.5094771776,7.501844563500001,85.9110268375,16.69531391,1.03073319505,0.36249621270000004,45.1198059875,3.1113758827499995,0,1,0,0,0,0,0,0,0,0,0,0,6.1452,7.0087425,8.203347500000001
28,347.72189258749995,32.69180600625,8.959686411625,0.8081293049250001,3.779485817,99.4487426625,17.35818882875,1.856080353125,1.7390252699625,45.238302165,2.98069264325,0,1,0,0,0,0,0,0,0,0,0,0,6.660832499999999,7.537891250000001,8.53537625
80,411.92958691666666,38.115239045,5.8423893888333325,2.107379099333333,2.307912175833333,37.54241606333333,4.373952751666667,2.444469654666667,1.0342201925,47.23942147499999,4.4515644465,0,1,0,0,0,0,0,0,0,0,0,0,5.393764999999998,6.451533333333333,7.330313333333333
1081,167.8002187,20.5811483,8.647082147999999,8.427767525,1.17305496,40.3122219,9.484886368,2.328410306,11.93266526,49.72238927,2.39031766,0,1,0,0,0,0,0,0,0,0,0,0,5.75022,7.060460000000001,8.24152
1035,236.8773699,19.05162092,5.1338404,15.29508929,1.348845765,11.72336523,16.10761208,4.658807471,15.65756758,48.14464926,2.531217954,0,1,0,0,0,0,0,0,0,0,0,0,5.27639,6.55812,7.6642
111,62.02279834666667,30.95668456666667,7.7859888978333345,7.403224073333332,3.4710005745,23.42429469,1.2637114607333333,1.4505410547000002,4.1285763845,47.59218814166667,-1.4400208103333334,0,1,0,0,0,0,0,0,0,0,0,0,5.434246666666668,6.6740916666666665,7.750176666666667
788,94.612912095,24.184100791666665,3.556825621,1.5454213225,1.5869551051666668,11.953439085,19.797795375000003,3.7229473271666658,1.5923427281666669,50.38777408166667,2.469898969166667,0,1,0,0,0,0,0,0,0,0,0,0,6.000166666666668,7.340498333333334,8.504116666666668
976,73.30525972,10.4590390625,2.2482928067500003,0.547580340975,2.45799232375,22.51316495,4.45746858725,2.41017828525,0.367750489925,48.2627651975,-1.22984485175,0,1,0,0,0,0,0,0,0,0,0,0,5.309777500000001,6.6914025,7.819795
1003,123.79264879285714,13.106267325714285,3.729431538428571,1.481376491,1.2763267915571428,18.199388243571427,9.0472428735,4.328193093642857,0.8958373686714286,50.08309956428571,1.5804584140714286,0,1,0,0,0,0,0,0,0,0,0,0,5.831252857142857,7.0604507142857145,8.107268571428571
1270,215.1871404,50.54395919750001,5.248330676416667,3.1741161653333325,1.4724359975,27.060627698333334,20.37041823416667,2.048477687833334,1.7491840334583333,46.10694654333333,0.26230728206666665,0,1,0,0,0,0,0,0,0,0,0,0,5.493939166666666,6.804449166666667,7.9479541666666655
800,177.4888001894737,19.537120165263147,7.11000358636842,16.38969672052632,1.859033115263158,2.6441859334315794,23.83243448842105,7.864322257105265,20.94180369736842,48.31614140105264,1.6503625860000002,0,1,0,0,0,0,0,0,0,0,0,0,5.614076842105264,6.9342405263157865,8.029721578947369
1118,211.63279893333333,13.008767613333333,7.319582504666665,1.82851696,4.129344842000002,6.385386611333335,10.970656670000002,2.5998917663333336,4.336610294333333,43.53784672,3.6091995316666665,0,1,0,0,0,0,0,0,0,0,0,0,5.400243333333332,6.299653333333333,7.146566666666666
1377,201.58488531875003,11.22641550625,6.422750983625,0.536269353925,4.826356938687501,10.156132321125,9.362053544374998,1.0075207206125,8.56296486275,43.01733697125,2.8690263316875004,0,1,0,0,0,0,0,0,0,0,0,0,8.127856875,9.077568125,10.03745875
1177,375.0795896,20.78397666,10.61931655,2.294830221,7.2610421139999985,92.82407968,5.6497242010000015,7.269875325,1.95163026,46.0756544,3.811393248,0,1,0,0,0,0,0,0,0,0,0,0,5.72898,6.67165,7.54177
710,285.85625184615384,14.717986255384615,7.694056058115384,6.393413985192307,2.7954523946153844,9.176381787576924,7.429475905846152,4.434316474076923,3.8803303246538468,48.83180393576922,4.402205000153845,0,1,0,0,0,0,0,0,0,0,0,0,5.409604615384616,6.631285384615383,7.6462815384615395
